Date,Number1,Number2,Number3,Number4,Number5,Number6
--2018-11-25,22,7,2,40,14,30
--2018-11-22,20,15,18,7,28,23
2018-11-18,48,23,15,37,35,8
2018-11-15,28,7,48,14,22,17
2018-11-11,10,23,30,21,7,39
2018-11-08,42,19,10,37,21,45
2018-11-04,40,34,22,36,32,41
2018-11-01,34,19,7,43,9,18
2018-10-28,24,10,4,48,33,43
2018-10-25,42,33,45,5,15,16
2018-10-21,45,47,25,18,2,10
2018-10-21,7,6,22,21,43,23
2018-10-18,34,27,32,10,13,11
2018-10-14,24,45,2,49,19,47
2018-10-11,6,11,33,19,23,8
2018-10-07,21,12,40,44,33,1
2018-10-04,34,26,12,32,7,42
2018-09-30,3,5,41,44,38,32
2018-09-27,29,11,4,45,33,28
2018-09-23,34,23,15,47,4,14
2018-09-20,42,35,33,39,25,7
2018-09-16,33,22,37,36,42,29
2018-09-13,42,20,3,34,31,13
2018-09-09,44,16,27,48,9,19
2018-09-06,48,26,13,28,7,22
2018-09-02,45,43,28,14,18,4
2018-08-30,29,27,12,25,7,39
2018-08-26,19,43,26,27,14,38
2018-08-23,37,14,47,28,39,4
2018-08-19,31,15,24,18,33,35
2018-08-16,5,16,37,32,3,10
2018-08-12,3,23,16,12,10,45
2018-08-09,41,42,25,28,38,30
2018-08-05,2,31,43,24,40,19
2018-08-02,21,9,8,22,40,27
2018-07-29,38,9,14,45,31,23
2018-07-26,6,12,44,27,4,30
2018-07-22,4,48,39,44,24,9
2018-07-19,23,49,5,2,41,16
2018-07-15,3,29,46,32,23,27
2018-07-12,2,42,29,39,40,44
2018-07-08,25,36,31,8,7,40
2018-07-05,28,5,44,10,26,38
2018-07-01,19,43,20,18,5,11
2018-06-28,49,23,25,24,41,4
2018-06-24,24,49,42,3,21,41
2018-06-21,30,31,19,49,17,34
2018-06-17,3,19,20,23,17,37
2018-06-14,6,23,3,35,32,44
2018-06-10,47,21,25,22,40,42
2018-06-07,43,4,38,25,16,46
2018-06-03,1,11,47,22,36,46
2018-05-31,24,33,19,28,35,4
2018-05-27,2,27,14,45,7,46
2018-05-24,1,14,38,47,33,7
2018-05-20,12,16,33,45,3,10
2018-05-17,24,34,17,8,5,20
2018-05-13,33,9,17,49,11,34
2018-05-10,1,20,39,21,43,44
2018-05-06,35,16,25,9,23,49
2018-05-03,29,37,44,3,9,6
2018-04-29,30,49,14,46,37,32
2018-04-26,14,18,19,24,33,6
2018-04-22,14,18,39,21,45,29
2018-04-19,4,21,22,27,24,37
2018-04-15,15,9,31,21,13,4
2018-04-12,2,24,43,49,16,40
2018-04-08,31,9,18,29,32,21
2018-04-01,12,23,20,11,42,18
2018-03-29,23,35,31,5,6,43
2018-03-25,2,39,12,36,34,20
2018-03-22,4,15,48,2,23,20
2018-03-18,9,37,41,33,47,25
2018-03-15,34,19,3,20,10,17
2018-03-11,27,43,48,29,35,1
2018-03-08,12,4,24,42,31,2
2018-03-04,20,40,19,32,39,29
2018-03-04,17,40,3,31,19,41
2018-03-01,6,11,39,43,33,9
2018-02-25,3,1,47,19,28,34
2018-02-22,47,8,35,18,26,2
2018-02-18,21,12,42,8,37,2
2018-02-15,30,33,5,2,34,19
2018-02-11,5,14,30,34,22,18
2018-02-08,3,29,23,40,39,9
2018-02-04,37,17,26,39,35,4
2018-02-01,37,34,27,46,4,28
2018-01-28,18,34,5,28,33,2
2018-01-25,48,10,17,31,25,29
2018-01-21,47,35,17,33,23,11
2018-01-18,1,49,21,34,2,12
2018-01-14,16,36,34,30,43,27
2018-01-11,35,20,10,31,3,32
2018-01-07,4,12,5,19,33,2
2018-01-04,8,27,47,2,25,3

